source,event_or_hook,context
modules_Documentation.md,onGameConnectionError,"    errorBox = nil     EnterGame.show()   end end  function onGameConnectionError(message, code)   CharacterList.destroyLoadBox()   if (not g"
modules_Documentation.md,onOk," displayErrorBox(tr(""Connection Error""), text)     errorBox.onOk = function()       errorBox = nil       CharacterList.showA"
modules_Documentation.md,onGameUpdateNeeded,ain()     end   end   scheduleAutoReconnect() end  function onGameUpdateNeeded(signature)   CharacterList.destroyLoadBox()   errorBox = di
modules_Documentation.md,onOk,ith your account again to update your client.'))   errorBox.onOk = function()     errorBox = nil     CharacterList.showAgain
modules_Documentation.md,onGameEnd,x = nil     CharacterList.showAgain()   end   end  function onGameEnd()   scheduleAutoReconnect()   CharacterList.showAgain() end
modules_Documentation.md,onLogout,leAutoReconnect()   CharacterList.showAgain() end  function onLogout()   lastLogout = g_clock.millis() end  function scheduleAut
modules_Documentation.md,onLoginError,")   if USE_NEW_ENERGAME then return end   connect(g_game, { onLoginError = onGameLoginError })   connect(g_game, { onLoginToken = on"
modules_Documentation.md,onGameLoginError,"ENERGAME then return end   connect(g_game, { onLoginError = onGameLoginError })   connect(g_game, { onLoginToken = onGameLoginToken })  "
modules_Documentation.md,onLoginToken,"e, { onLoginError = onGameLoginError })   connect(g_game, { onLoginToken = onGameLoginToken })   connect(g_game, { onUpdateNeeded = "
modules_Documentation.md,onGameLoginToken,"or = onGameLoginError })   connect(g_game, { onLoginToken = onGameLoginToken })   connect(g_game, { onUpdateNeeded = onGameUpdateNeeded "
modules_Documentation.md,onUpdateNeeded,"e, { onLoginToken = onGameLoginToken })   connect(g_game, { onUpdateNeeded = onGameUpdateNeeded })   connect(g_game, { onConnectionErr"
modules_Documentation.md,onGameUpdateNeeded," = onGameLoginToken })   connect(g_game, { onUpdateNeeded = onGameUpdateNeeded })   connect(g_game, { onConnectionError = onGameConnection"
modules_Documentation.md,onConnectionError," onUpdateNeeded = onGameUpdateNeeded })   connect(g_game, { onConnectionError = onGameConnectionError })   connect(g_game, { onGameStart "
modules_Documentation.md,onGameConnectionError,"GameUpdateNeeded })   connect(g_game, { onConnectionError = onGameConnectionError })   connect(g_game, { onGameStart = CharacterList.destroyL"
modules_Documentation.md,onGameStart,"nectionError = onGameConnectionError })   connect(g_game, { onGameStart = CharacterList.destroyLoadBox })   connect(g_game, { onLog"
modules_Documentation.md,onLoginWait,"Start = CharacterList.destroyLoadBox })   connect(g_game, { onLoginWait = onLoginWait })   connect(g_game, { onGameEnd = onGameEnd "
modules_Documentation.md,onLoginWait,"terList.destroyLoadBox })   connect(g_game, { onLoginWait = onLoginWait })   connect(g_game, { onGameEnd = onGameEnd })   connect(g"
modules_Documentation.md,onGameEnd,"(g_game, { onLoginWait = onLoginWait })   connect(g_game, { onGameEnd = onGameEnd })   connect(g_game, { onLogout = onLogout })  "
modules_Documentation.md,onGameEnd,"nLoginWait = onLoginWait })   connect(g_game, { onGameEnd = onGameEnd })   connect(g_game, { onLogout = onLogout })    if G.chara"
modules_Documentation.md,onLogout,"nect(g_game, { onGameEnd = onGameEnd })   connect(g_game, { onLogout = onLogout })    if G.characters then     CharacterList.cre"
modules_Documentation.md,onLogout,", { onGameEnd = onGameEnd })   connect(g_game, { onLogout = onLogout })    if G.characters then     CharacterList.create(G.chara"
modules_Documentation.md,onLoginError," if USE_NEW_ENERGAME then return end   disconnect(g_game, { onLoginError = onGameLoginError })   disconnect(g_game, { onLoginToken ="
modules_Documentation.md,onGameLoginError,"RGAME then return end   disconnect(g_game, { onLoginError = onGameLoginError })   disconnect(g_game, { onLoginToken = onGameLoginToken }"
modules_Documentation.md,onLoginToken,"{ onLoginError = onGameLoginError })   disconnect(g_game, { onLoginToken = onGameLoginToken })   disconnect(g_game, { onUpdateNeeded"
modules_Documentation.md,onGameLoginToken,"= onGameLoginError })   disconnect(g_game, { onLoginToken = onGameLoginToken })   disconnect(g_game, { onUpdateNeeded = onGameUpdateNeed"
modules_Documentation.md,onUpdateNeeded,"{ onLoginToken = onGameLoginToken })   disconnect(g_game, { onUpdateNeeded = onGameUpdateNeeded })   disconnect(g_game, { onConnection"
modules_Documentation.md,onGameUpdateNeeded,"onGameLoginToken })   disconnect(g_game, { onUpdateNeeded = onGameUpdateNeeded })   disconnect(g_game, { onConnectionError = onGameConnect"
modules_Documentation.md,onConnectionError,"UpdateNeeded = onGameUpdateNeeded })   disconnect(g_game, { onConnectionError = onGameConnectionError })   disconnect(g_game, { onGameSta"
modules_Documentation.md,onGameConnectionError,"eUpdateNeeded })   disconnect(g_game, { onConnectionError = onGameConnectionError })   disconnect(g_game, { onGameStart = CharacterList.destr"
modules_Documentation.md,onGameStart,"tionError = onGameConnectionError })   disconnect(g_game, { onGameStart = CharacterList.destroyLoadBox })   disconnect(g_game, { on"
modules_Documentation.md,onLoginWait,"rt = CharacterList.destroyLoadBox })   disconnect(g_game, { onLoginWait = onLoginWait })   disconnect(g_game, { onGameEnd = onGameE"
modules_Documentation.md,onLoginWait,"List.destroyLoadBox })   disconnect(g_game, { onLoginWait = onLoginWait })   disconnect(g_game, { onGameEnd = onGameEnd })   discon"
modules_Documentation.md,onGameEnd,"game, { onLoginWait = onLoginWait })   disconnect(g_game, { onGameEnd = onGameEnd })   disconnect(g_game, { onLogout = onLogout }"
modules_Documentation.md,onGameEnd,"ginWait = onLoginWait })   disconnect(g_game, { onGameEnd = onGameEnd })   disconnect(g_game, { onLogout = onLogout })    if char"
modules_Documentation.md,onLogout,"t(g_game, { onGameEnd = onGameEnd })   disconnect(g_game, { onLogout = onLogout })    if charactersWindow then     characterList"
modules_Documentation.md,onLogout," onGameEnd = onGameEnd })   disconnect(g_game, { onLogout = onLogout })    if charactersWindow then     characterList = nil     "
modules_Documentation.md,onDoubleClick,".worldPort = characterInfo.worldPort      connect(widget, { onDoubleClick = function () CharacterList.doLogin() return true end } )  "
modules_Documentation.md,onChildFocusChange,nsureChildVisible(focusLabel) end)   end      characterList.onChildFocusChange = function()     removeEvent(autoReconnectEvent)     autoRe
modules_Documentation.md,onClick,ountStatusLabel:setOn(false)   end      autoReconnectButton.onClick = function(widget)     local autoReconnect = not g_settings
modules_Documentation.md,onFocusChange,   children[i]:setOn(self:isFocused())       end     end   @onFocusChange: self:updateOnStates()   @onSetup: self:updateOnStates()   
modules_Documentation.md,onSetup,     end     end   @onFocusChange: self:updateOnStates()   @onSetup: self:updateOnStates()    $focus:     background-color: #ff
modules_Documentation.md,onEnter,ible: false   size: 350 400   $mobile:     size: 350 280   @onEnter: CharacterList.doLogin()   @onEscape: CharacterList.hide(tr
modules_Documentation.md,onEscape,e:     size: 350 280   @onEnter: CharacterList.doLogin()   @onEscape: CharacterList.hide(true)   @onSetup: |     g_keyboard.bind
modules_Documentation.md,onSetup,"cterList.doLogin()   @onEscape: CharacterList.hide(true)   @onSetup: |     g_keyboard.bindKeyPress('Up', function() self:getChi"
modules_Documentation.md,onClick,    anchors.bottom: parent.bottom     margin-right: 10     @onClick: CharacterList.doLogin()    Button     id: buttonCancel    
modules_Documentation.md,onClick,.right: parent.right     anchors.bottom: parent.bottom     @onClick: CharacterList.hide(true) ``` ---  # 📄 entergame.lua ```lua
modules_Documentation.md,onProtocolError,"tingForHttpResults = 0  -- private functions local function onProtocolError(protocol, message, errorCode)   if errorCode then     retur"
modules_Documentation.md,onError,"essage, errorCode)   if errorCode then     return EnterGame.onError(message)   end   return EnterGame.onLoginError(message) end"
modules_Documentation.md,onLoginError," return EnterGame.onError(message)   end   return EnterGame.onLoginError(message) end  local function onSessionKey(protocol, session"
modules_Documentation.md,onSessionKey," return EnterGame.onLoginError(message) end  local function onSessionKey(protocol, sessionKey)   G.sessionKey = sessionKey end  loca"
modules_Documentation.md,onCharacterList,"sessionKey)   G.sessionKey = sessionKey end  local function onCharacterList(protocol, characters, account, otui)   if rememberPasswordB"
modules_Documentation.md,onUpdateNeeded,"aracterList.show()    g_settings.save() end  local function onUpdateNeeded(protocol, signature)   return EnterGame.onError(tr('Your cl"
modules_Documentation.md,onError,"tion onUpdateNeeded(protocol, signature)   return EnterGame.onError(tr('Your client needs updating, try redownloading it.')) en"
modules_Documentation.md,onProxyList,"eeds updating, try redownloading it.')) end  local function onProxyList(protocol, proxies)   for _, proxy in ipairs(proxies) do    "
modules_Documentation.md,onTibia12HTTPResult,"ersion.""   end   return incorrectThings end  local function onTibia12HTTPResult(session, playdata)   local characters = {}   local worlds ="
modules_Documentation.md,onError,"     host = G.host       })     else       return EnterGame.onError(incorrectThings)     end   end      onSessionKey(nil, sessi"
modules_Documentation.md,onSessionKey,"eturn EnterGame.onError(incorrectThings)     end   end      onSessionKey(nil, session[""sessionkey""])      for _, world in pairs(play"
modules_Documentation.md,onCharacterList,"(5) -- set os to windows if opcodes are disabled   end      onCharacterList(nil, characters, account, nil)   end  local function onHTTP"
modules_Documentation.md,onHTTPResult,"erList(nil, characters, account, nil)   end  local function onHTTPResult(data, err)   if waitingForHttpResults == 0 then     return "
modules_Documentation.md,onError,or other requests   end    if err then     return EnterGame.onError(err)   end   waitingForHttpResults = 0    if data['error'] 
modules_Documentation.md,onLoginError,ror'] and data['error']:len() > 0 then     return EnterGame.onLoginError(data['error'])   elseif data['errorMessage'] and data['erro
modules_Documentation.md,onLoginError,"nd data['errorMessage']:len() > 0 then     return EnterGame.onLoginError(data['errorMessage'])   end      if type(data[""session""]) ="
modules_Documentation.md,onTibia12HTTPResult,"able"" and type(data[""playdata""]) == ""table"" then     return onTibia12HTTPResult(data[""session""], data[""playdata""])   end        local chara"
modules_Documentation.md,onError,hen     g_logger.info(incorrectThings)     return EnterGame.onError(incorrectThings)   end      -- custom protocol   g_game.set
modules_Documentation.md,onSessionKey,")   end    if session ~= nil and session:len() > 0 then     onSessionKey(nil, session)   end      -- proxies   if g_proxy then     g"
modules_Documentation.md,onCharacterList,", tonumber(proxy[""priority""]))       end     end   end      onCharacterList(nil, characters, account, nil)   end   -- public functions "
modules_Documentation.md,onServerChange,"t')   g_settings.remove('password') end  function EnterGame.onServerChange()   server = serverSelector:getText()   if server == tr(""An"
modules_Documentation.md,onOk,"not login while already in game.'))     connect(errorBox, { onOk = EnterGame.show })     return   end      G.account = accou"
modules_Documentation.md,onError,"erver_port or not G.clientVersion then     return EnterGame.onError(""Invalid server, it should be in format IP:PORT or it shoul"
modules_Documentation.md,onError,     host = G.host       })     else       return EnterGame.onError(incorrectThings)     end   end    protocolLogin = ProtocolL
modules_Documentation.md,onLoginError,d    protocolLogin = ProtocolLogin.create()   protocolLogin.onLoginError = onProtocolError   protocolLogin.onSessionKey = onSessionK
modules_Documentation.md,onProtocolError,gin = ProtocolLogin.create()   protocolLogin.onLoginError = onProtocolError   protocolLogin.onSessionKey = onSessionKey   protocolLogin
modules_Documentation.md,onSessionKey,rotocolLogin.onLoginError = onProtocolError   protocolLogin.onSessionKey = onSessionKey   protocolLogin.onCharacterList = onCharacte
modules_Documentation.md,onSessionKey,LoginError = onProtocolError   protocolLogin.onSessionKey = onSessionKey   protocolLogin.onCharacterList = onCharacterList   protoco
modules_Documentation.md,onCharacterList,  protocolLogin.onSessionKey = onSessionKey   protocolLogin.onCharacterList = onCharacterList   protocolLogin.onUpdateNeeded = onUpdate
modules_Documentation.md,onCharacterList,SessionKey = onSessionKey   protocolLogin.onCharacterList = onCharacterList   protocolLogin.onUpdateNeeded = onUpdateNeeded   protocolL
modules_Documentation.md,onUpdateNeeded,ocolLogin.onCharacterList = onCharacterList   protocolLogin.onUpdateNeeded = onUpdateNeeded   protocolLogin.onProxyList = onProxyList 
modules_Documentation.md,onUpdateNeeded,cterList = onCharacterList   protocolLogin.onUpdateNeeded = onUpdateNeeded   protocolLogin.onProxyList = onProxyList    EnterGame.hide
modules_Documentation.md,onProxyList,otocolLogin.onUpdateNeeded = onUpdateNeeded   protocolLogin.onProxyList = onProxyList    EnterGame.hide()   loadBox = displayCancel
modules_Documentation.md,onProxyList,UpdateNeeded = onUpdateNeeded   protocolLogin.onProxyList = onProxyList    EnterGame.hide()   loadBox = displayCancelBox(tr('Please
modules_Documentation.md,onCancel,", tr('Connecting to login server...'))   connect(loadBox, { onCancel = function(msgbox)                                   loadBo"
modules_Documentation.md,onError,".host == nil or G.host:len() < 10 then     return EnterGame.onError(""Invalid server url: "" .. G.host)       end    loadBox = di"
modules_Documentation.md,onHTTPResult," _, url in ipairs(urls) do         HTTP.postJSON(url, data, onHTTPResult)       end     else       waitingForHttpResults = 1       H"
modules_Documentation.md,onHTTPResult,"waitingForHttpResults = 1       HTTP.postJSON(G.host, data, onHTTPResult)         end   end   EnterGame.hide() end  function EnterGa"
modules_Documentation.md,onError,       end   end   EnterGame.hide() end  function EnterGame.onError(err)   if loadBox then     loadBox:destroy()     loadBox = 
modules_Documentation.md,onOk,"rorBox = displayErrorBox(tr('Login Error'), err)   errorBox.onOk = EnterGame.show end  function EnterGame.onLoginError(err) "
modules_Documentation.md,onLoginError,r)   errorBox.onOk = EnterGame.show end  function EnterGame.onLoginError(err)   if loadBox then     loadBox:destroy()     loadBox = 
modules_Documentation.md,onOk,"rorBox = displayErrorBox(tr('Login Error'), err)   errorBox.onOk = EnterGame.show   if err:lower():find(""invalid"") or err:lo"
modules_Documentation.md,onLoad,"edubart/otclient   scripts: [ entergame, characterlist ]   @onLoad: EnterGame.init() CharacterList.init()   @onUnload: EnterGa"
modules_Documentation.md,onUnload,rlist ]   @onLoad: EnterGame.init() CharacterList.init()   @onUnload: EnterGame.terminate() CharacterList.terminate()      load-
modules_Documentation.md,onEnter,📄 entergame.otui ```otui EnterGameWindow   id: enterGame   @onEnter: EnterGame.doLogin()    MenuLabel     !text: tr('Account na
modules_Documentation.md,onOptionChange,25       menu-scroll-step: 25       text-offset: 5 2       @onOptionChange: EnterGame.onServerChange()        Panel     id: customServ
modules_Documentation.md,onServerChange, 25       text-offset: 5 2       @onOptionChange: EnterGame.onServerChange()        Panel     id: customServerSelectorPanel     anchor
modules_Documentation.md,onClick,argin-top: 10     margin-left: 50     margin-right: 50     @onClick: EnterGame.doLogin()    Label     id: serverInfoLabel     f
modules_Documentation.md,onEscape,aitingWindow   !text: tr('Waiting List')   size: 260 180   @onEscape: CharacterList.cancelWait()    Label     id: infoLabel     
modules_Documentation.md,onClick,.right: parent.right     anchors.bottom: parent.bottom     @onClick: CharacterList.cancelWait() ``` ---  # 📦 Moduł: `client_fee
modules_Documentation.md,onClick,n = feedbackWindow:getChildById('cancelButton')    okButton.onClick = send   cancelButton.onClick = hide   feedbackWindow.onEsc
modules_Documentation.md,onClick,d('cancelButton')    okButton.onClick = send   cancelButton.onClick = hide   feedbackWindow.onEscape = hide     end  function t
modules_Documentation.md,onEscape,Click = send   cancelButton.onClick = hide   feedbackWindow.onEscape = hide     end  function terminate()   feedbackWindow:destr
modules_Documentation.md,onLoad,dependencies: [ game_interface ]   scripts: [ feedback ]   @onLoad: init()   @onUnload: terminate() ``` ---  # 📄 feedback.otui
modules_Documentation.md,onUnload,me_interface ]   scripts: [ feedback ]   @onLoad: init()   @onUnload: terminate() ``` ---  # 📄 feedback.otui ```otui MainWindow 
modules_Documentation.md,onClick,e .. '')     widget:setText(locale.languageName)     widget.onClick = function() selectFirstLocale(name) end     count = count 
modules_Documentation.md,onRun,"lse     setLocale(defaultLocaleName)     --connect(g_app, { onRun = createWindow })   end end  function terminate()   install"
modules_Documentation.md,onRun,"ocales = nil   currentLocale = nil    --disconnect(g_app, { onRun = createWindow }) end  function generateNewTranslationTable"
modules_Documentation.md,onLocaleChanged,"urrentLocale = locale   g_settings.set('locale', name)   if onLocaleChanged then onLocaleChanged(name) end   return true end  function "
modules_Documentation.md,onLocaleChanged,"   g_settings.set('locale', name)   if onLocaleChanged then onLocaleChanged(name) end   return true end  function getInstalledLocales()"
modules_Documentation.md,onLoad,dubart/otclient   sandboxed: true   scripts: [ locales ]   @onLoad: init()   @onUnload: terminate() ``` ---  # 📄 locales.otui 
modules_Documentation.md,onUnload,sandboxed: true   scripts: [ locales ]   @onLoad: init()   @onUnload: terminate() ``` ---  # 📄 locales.otui ```otui LocalesMainL
modules_Documentation.md,onMousePress,"   g_app.scale(5.0)   end, 10)      connect(overlay, {      onMousePress = onMousePress,     onMouseRelease = onMouseRelease,     on"
modules_Documentation.md,onMousePress,"5.0)   end, 10)      connect(overlay, {      onMousePress = onMousePress,     onMouseRelease = onMouseRelease,     onTouchPress = on"
modules_Documentation.md,onMouseRelease,"   connect(overlay, {      onMousePress = onMousePress,     onMouseRelease = onMouseRelease,     onTouchPress = onMousePress,     onTo"
modules_Documentation.md,onMouseRelease,"y, {      onMousePress = onMousePress,     onMouseRelease = onMouseRelease,     onTouchPress = onMousePress,     onTouchRelease = onMo"
modules_Documentation.md,onTouchPress,"ss = onMousePress,     onMouseRelease = onMouseRelease,     onTouchPress = onMousePress,     onTouchRelease = onMouseRelease,     on"
modules_Documentation.md,onMousePress,"ss,     onMouseRelease = onMouseRelease,     onTouchPress = onMousePress,     onTouchRelease = onMouseRelease,     onMouseMove = onM"
modules_Documentation.md,onTouchRelease,"ease = onMouseRelease,     onTouchPress = onMousePress,     onTouchRelease = onMouseRelease,     onMouseMove = onMouseMove    })   con"
modules_Documentation.md,onMouseRelease,"ease,     onTouchPress = onMousePress,     onTouchRelease = onMouseRelease,     onMouseMove = onMouseMove    })   connect(keypad, {   "
modules_Documentation.md,onMouseMove,"ss = onMousePress,     onTouchRelease = onMouseRelease,     onMouseMove = onMouseMove    })   connect(keypad, {     onTouchPress = "
modules_Documentation.md,onMouseMove,"ess,     onTouchRelease = onMouseRelease,     onMouseMove = onMouseMove    })   connect(keypad, {     onTouchPress = onKeypadTouchP"
modules_Documentation.md,onTouchPress,"    onMouseMove = onMouseMove    })   connect(keypad, {     onTouchPress = onKeypadTouchPress,     onTouchRelease = onKeypadTouchRel"
modules_Documentation.md,onKeypadTouchPress," = onMouseMove    })   connect(keypad, {     onTouchPress = onKeypadTouchPress,     onTouchRelease = onKeypadTouchRelease,       onMouseMo"
modules_Documentation.md,onTouchRelease,"onnect(keypad, {     onTouchPress = onKeypadTouchPress,     onTouchRelease = onKeypadTouchRelease,       onMouseMove = onKeypadTouchMo"
modules_Documentation.md,onKeypadTouchRelease,"    onTouchPress = onKeypadTouchPress,     onTouchRelease = onKeypadTouchRelease,       onMouseMove = onKeypadTouchMove   })   connect(g_gam"
modules_Documentation.md,onMouseMove,"ouchPress,     onTouchRelease = onKeypadTouchRelease,       onMouseMove = onKeypadTouchMove   })   connect(g_game, {      onGameSta"
modules_Documentation.md,onKeypadTouchMove," onTouchRelease = onKeypadTouchRelease,       onMouseMove = onKeypadTouchMove   })   connect(g_game, {      onGameStart = online,     onG"
modules_Documentation.md,onGameStart,"MouseMove = onKeypadTouchMove   })   connect(g_game, {      onGameStart = online,     onGameEnd = offline    })   if g_game.isOnlin"
modules_Documentation.md,onGameEnd,"ove   })   connect(g_game, {      onGameStart = online,     onGameEnd = offline    })   if g_game.isOnline() then     online()   "
modules_Documentation.md,onMousePress,"ypadEvent)   keypadEvent = nil   disconnect(overlay, {      onMousePress = onMousePress,     onMouseRelease = onMouseRelease,     on"
