file,link,classification,suggestion
01_core\api\cpp\framework\core\graphicalapplication.md,../diagrams/graphicalapplication.mmd,needed_missing,
01_core\api\cpp\framework\core\inputevent.md,../diagrams/inputevent.mmd,needed_missing,
01_core\api\cpp\framework\core\logger.md,../diagrams/logger.mmd,needed_missing,
01_core\api\cpp\framework\core\module.md,../diagrams/module.mmd,needed_missing,
01_core\api\cpp\framework\core\modulemanager.md,../diagrams/modulemanager.mmd,needed_missing,
01_core\api\cpp\framework\core\resourcemanager.md,../diagrams/resourcemanager.mmd,needed_missing,
01_core\api\cpp\framework\core\scheduledevent.md,../diagrams/scheduledevent.mmd,needed_missing,
01_core\api\cpp\framework\core\timer.md,../diagrams/timer.mmd,needed_missing,
01_core\api\cpp\framework\graphics\animatedtexture.md,../diagrams/animatedtexture.mmd,needed_missing,
01_core\api\cpp\framework\graphics\apngloader.md,../diagrams/apngloader.mmd,needed_missing,
01_core\api\cpp\framework\graphics\atlas.md,../diagrams/atlas.mmd,needed_missing,
01_core\api\cpp\framework\graphics\bitmapfont.md,../diagrams/bitmapfont.mmd,needed_missing,
01_core\api\cpp\framework\graphics\cachedtext.md,../diagrams/cachedtext.mmd,needed_missing,
01_core\api\cpp\framework\graphics\colorarray.md,../diagrams/colorarray.mmd,needed_missing,
01_core\api\cpp\framework\graphics\coordsbuffer.md,../diagrams/coordsbuffer.mmd,needed_missing,
01_core\api\cpp\framework\graphics\declarations.md,../diagrams/declarations.mmd,needed_missing,
01_core\api\cpp\framework\graphics\deptharray.md,../diagrams/deptharray.mmd,needed_missing,
01_core\api\cpp\framework\graphics\drawcache.md,../diagrams/drawcache.mmd,needed_missing,
01_core\api\cpp\framework\graphics\drawqueue.md,../diagrams/drawqueue.mmd,needed_missing,
01_core\api\cpp\framework\graphics\fontmanager.md,../diagrams/fontmanager.mmd,needed_missing,
01_core\api\cpp\framework\graphics\framebuffer.md,../diagrams/framebuffer.mmd,needed_missing,
01_core\api\cpp\framework\graphics\framebuffermanager.md,../diagrams/framebuffermanager.mmd,needed_missing,
01_core\api\cpp\framework\graphics\graph.md,../diagrams/graph.mmd,needed_missing,
01_core\api\cpp\framework\graphics\graphics.md,../diagrams/graphics.mmd,needed_missing,
01_core\api\cpp\framework\graphics\hardwarebuffer.md,../diagrams/hardwarebuffer.mmd,needed_missing,
01_core\api\cpp\framework\graphics\image.md,../diagrams/image.mmd,needed_missing,
01_core\api\cpp\framework\graphics\painter.md,../diagrams/painter.mmd,needed_missing,
01_core\api\cpp\framework\graphics\paintershaderprogram.md,../diagrams/paintershaderprogram.mmd,needed_missing,
01_core\api\cpp\framework\graphics\shader.md,../diagrams/shader.mmd,needed_missing,
01_core\api\cpp\framework\graphics\shadermanager.md,../diagrams/shadermanager.mmd,needed_missing,
01_core\api\cpp\framework\graphics\shaderprogram.md,../diagrams/shaderprogram.mmd,needed_missing,
01_core\api\cpp\framework\graphics\textrender.md,../diagrams/textrender.mmd,needed_missing,
01_core\api\cpp\framework\graphics\texture.md,../diagrams/texture.mmd,needed_missing,
01_core\api\cpp\framework\graphics\texturemanager.md,../diagrams/texturemanager.mmd,needed_missing,
01_core\api\cpp\framework\graphics\vertexarray.md,../diagrams/vertexarray.mmd,needed_missing,
01_core\api\cpp\framework\http\http.md,../diagrams/http.mmd,needed_missing,
01_core\api\cpp\framework\http\result.md,../diagrams/result.mmd,needed_missing,
01_core\api\cpp\framework\http\session.md,../diagrams/session.mmd,needed_missing,
01_core\api\cpp\framework\http\websocket.md,../diagrams/websocket.mmd,needed_missing,
01_core\api\cpp\framework\input\mouse.md,../diagrams/mouse.mmd,needed_missing,
01_core\api\cpp\framework\luaengine\declarations.md,../diagrams/declarations.mmd,needed_missing,
01_core\api\cpp\framework\luaengine\lbitlib.md,../diagrams/lbitlib.mmd,needed_missing,
01_core\api\cpp\framework\luaengine\luabinder.md,../diagrams/luabinder.mmd,needed_missing,
01_core\api\cpp\framework\luaengine\luaexception.md,../diagrams/luaexception.mmd,needed_missing,
01_core\api\cpp\framework\luaengine\luainterface.md,../diagrams/luainterface.mmd,needed_missing,
01_core\api\cpp\framework\luaengine\luaobject.md,../diagrams/luaobject.mmd,needed_missing,
01_core\api\cpp\framework\luaengine\luavaluecasts.md,../diagrams/luavaluecasts.mmd,needed_missing,
01_core\api\cpp\framework\net\connection.md,../diagrams/connection.mmd,needed_missing,
01_core\api\cpp\framework\net\declarations.md,../diagrams/declarations.mmd,needed_missing,
01_core\api\cpp\framework\net\inputmessage.md,../diagrams/inputmessage.mmd,needed_missing,
01_core\api\cpp\framework\net\outputmessage.md,../diagrams/outputmessage.mmd,needed_missing,
01_core\api\cpp\framework\net\packet_player.md,../diagrams/packet_player.mmd,needed_missing,
01_core\api\cpp\framework\net\packet_recorder.md,../diagrams/packet_recorder.mmd,needed_missing,
01_core\api\cpp\framework\net\protocol.md,../diagrams/protocol.mmd,needed_missing,
01_core\api\cpp\framework\net\server.md,../diagrams/server.mmd,needed_missing,
01_core\api\cpp\framework\otml\declarations.md,../diagrams/declarations.mmd,needed_missing,
01_core\api\cpp\framework\otml\otmldocument.md,../diagrams/otmldocument.mmd,needed_missing,
01_core\api\cpp\framework\otml\otmlemitter.md,../diagrams/otmlemitter.mmd,needed_missing,
01_core\api\cpp\framework\otml\otmlexception.md,../diagrams/otmlexception.mmd,needed_missing,
01_core\api\cpp\framework\otml\otmlnode.md,../diagrams/otmlnode.mmd,needed_missing,
01_core\api\cpp\framework\otml\otmlparser.md,../diagrams/otmlparser.mmd,needed_missing,
01_core\api\cpp\framework\platform\androidwindow.md,../diagrams/androidwindow.mmd,needed_missing,
01_core\api\cpp\framework\platform\platform.md,../diagrams/platform.mmd,needed_missing,
01_core\api\cpp\framework\platform\platformwindow.md,../diagrams/platformwindow.mmd,needed_missing,
01_core\api\cpp\framework\platform\sdlwindow.md,../diagrams/sdlwindow.mmd,needed_missing,
01_core\api\cpp\framework\platform\win32window.md,../diagrams/win32window.mmd,needed_missing,
01_core\api\cpp\framework\platform\x11window.md,../diagrams/x11window.mmd,needed_missing,
01_core\api\cpp\framework\proxy\proxy.md,../diagrams/proxy.mmd,needed_missing,
01_core\api\cpp\framework\proxy\proxy_client.md,../diagrams/proxy_client.mmd,needed_missing,
01_core\api\cpp\framework\sound\combinedsoundsource.md,../diagrams/combinedsoundsource.mmd,needed_missing,
01_core\api\cpp\framework\sound\declarations.md,../diagrams/declarations.mmd,needed_missing,
01_core\api\cpp\framework\sound\oggsoundfile.md,../diagrams/oggsoundfile.mmd,needed_missing,
01_core\api\cpp\framework\sound\soundbuffer.md,../diagrams/soundbuffer.mmd,needed_missing,
01_core\api\cpp\framework\sound\soundchannel.md,../diagrams/soundchannel.mmd,needed_missing,
01_core\api\cpp\framework\sound\soundfile.md,../diagrams/soundfile.mmd,needed_missing,
01_core\api\cpp\framework\sound\soundmanager.md,../diagrams/soundmanager.mmd,needed_missing,
01_core\api\cpp\framework\sound\soundsource.md,../diagrams/soundsource.mmd,needed_missing,
01_core\api\cpp\framework\sound\streamsoundsource.md,../diagrams/streamsoundsource.mmd,needed_missing,
01_core\api\cpp\framework\stdext\any.md,../diagrams/any.mmd,needed_missing,
01_core\api\cpp\framework\stdext\boolean.md,../diagrams/boolean.mmd,needed_missing,
01_core\api\cpp\framework\stdext\cast.md,../diagrams/cast.mmd,needed_missing,
01_core\api\cpp\framework\stdext\dumper.md,../diagrams/dumper.mmd,needed_missing,
01_core\api\cpp\framework\stdext\dynamic_storage.md,../diagrams/dynamic_storage.mmd,needed_missing,
01_core\api\cpp\framework\stdext\exception.md,../diagrams/exception.mmd,needed_missing,
01_core\api\cpp\framework\stdext\packed_any.md,../diagrams/packed_any.mmd,needed_missing,
01_core\api\cpp\framework\stdext\packed_storage.md,../diagrams/packed_storage.mmd,needed_missing,
01_core\api\cpp\framework\stdext\shared_object.md,../diagrams/shared_object.mmd,needed_missing,
01_core\api\cpp\framework\stdext\time.md,../diagrams/time.mmd,needed_missing,
01_core\api\cpp\framework\stdext\uri.md,../diagrams/uri.mmd,needed_missing,
01_core\api\cpp\framework\ui\declarations.md,../diagrams/declarations.mmd,needed_missing,
01_core\api\cpp\framework\ui\uianchorlayout.md,../diagrams/uianchorlayout.mmd,needed_missing,
01_core\api\cpp\framework\ui\uiboxlayout.md,../diagrams/uiboxlayout.mmd,needed_missing,
01_core\api\cpp\framework\ui\uigridlayout.md,../diagrams/uigridlayout.mmd,needed_missing,
01_core\api\cpp\framework\ui\uihorizontallayout.md,../diagrams/uihorizontallayout.mmd,needed_missing,
01_core\api\cpp\framework\ui\uilayout.md,../diagrams/uilayout.mmd,needed_missing,
01_core\api\cpp\framework\ui\uimanager.md,../diagrams/uimanager.mmd,needed_missing,
01_core\api\cpp\framework\ui\uitextedit.md,../diagrams/uitextedit.mmd,needed_missing,
01_core\api\cpp\framework\ui\uiverticallayout.md,../diagrams/uiverticallayout.mmd,needed_missing,
01_core\api\cpp\framework\ui\uiwidget.md,../diagrams/uiwidget.mmd,needed_missing,
01_core\api\cpp\framework\util\color.md,../diagrams/color.mmd,needed_missing,
01_core\api\cpp\framework\util\crypt.md,../diagrams/crypt.mmd,needed_missing,
01_core\api\cpp\framework\util\databuffer.md,../diagrams/databuffer.mmd,needed_missing,
01_core\api\cpp\framework\util\extras.md,../diagrams/extras.mmd,needed_missing,
01_core\api\cpp\framework\util\framecounter.md,../diagrams/framecounter.mmd,needed_missing,
01_core\api\cpp\framework\util\matrix.md,../diagrams/matrix.mmd,needed_missing,
01_core\api\cpp\framework\util\pngunpacker.md,../diagrams/pngunpacker.mmd,needed_missing,
01_core\api\cpp\framework\util\point.md,../diagrams/point.mmd,needed_missing,
01_core\api\cpp\framework\util\qrcodegen.md,../diagrams/qrcodegen.mmd,needed_missing,
01_core\api\cpp\framework\util\rect.md,../diagrams/rect.mmd,needed_missing,
01_core\api\cpp\framework\util\size.md,../diagrams/size.mmd,needed_missing,
01_core\api\cpp\framework\util\stats.md,../diagrams/stats.mmd,needed_missing,
01_core\api\cpp\framework\xml\tinystr.md,../diagrams/tinystr.mmd,needed_missing,
01_core\api\cpp\framework\xml\tinyxml.md,../diagrams/tinyxml.mmd,needed_missing,
04_ui\otui\client_entergame\characterlist.md,..\diagrams\characterlist.mmd,needed_missing,
04_ui\otui\client_locales\locales.md,..\diagrams\locales.mmd,needed_missing,
04_ui\otui\client_options\options.md,..\diagrams\options.mmd,needed_missing,
04_ui\otui\client_stats\stats.md,..\diagrams\stats.mmd,needed_missing,
04_ui\otui\client_terminal\terminal.md,..\diagrams\terminal.mmd,needed_missing,
04_ui\otui\client_textedit\textedit.md,..\diagrams\textedit.mmd,needed_missing,
04_ui\otui\game_actionbar\actionbar.md,..\diagrams\actionbar.mmd,needed_missing,
04_ui\otui\game_actionbar\object.md,..\diagrams\object.mmd,needed_missing,
04_ui\otui\game_actionbar\sideactionbar.md,..\diagrams\sideactionbar.mmd,needed_missing,
04_ui\otui\game_actionbar\spell.md,..\diagrams\spell.mmd,needed_missing,
04_ui\otui\game_battle\battle.md,..\diagrams\battle.mmd,needed_missing,
04_ui\otui\game_battle\battlebutton.md,..\diagrams\battlebutton.mmd,needed_missing,
04_ui\otui\game_bot\bot.md,..\diagrams\bot.mmd,needed_missing,
04_ui\otui\game_bugreport\bugreport.md,..\diagrams\bugreport.mmd,needed_missing,
04_ui\otui\game_console\channelswindow.md,..\diagrams\channelswindow.mmd,needed_missing,
04_ui\otui\game_console\communicationwindow.md,..\diagrams\communicationwindow.mmd,needed_missing,
04_ui\otui\game_cooldown\cooldown.md,..\diagrams\cooldown.mmd,needed_missing,
04_ui\otui\game_hotkeys\hotkeys_manager.md,..\diagrams\hotkeys_manager.mmd,needed_missing,
04_ui\otui\game_imbuing\imbuing.md,..\diagrams\imbuing.mmd,needed_missing,
04_ui\otui\game_interface\gameinterface.md,..\diagrams\gameinterface.mmd,needed_missing,
04_ui\otui\game_itemselector\itemselector.md,..\diagrams\itemselector.mmd,needed_missing,
04_ui\otui\game_market\market.md,..\diagrams\market.mmd,needed_missing,
04_ui\otui\game_minimap\flagwindow.md,..\diagrams\flagwindow.mmd,needed_missing,
04_ui\otui\game_modaldialog\modaldialog.md,..\diagrams\modaldialog.mmd,needed_missing,
04_ui\otui\game_npctrade\npctrade.md,..\diagrams\npctrade.mmd,needed_missing,
04_ui\otui\game_outfit\outfitwindow.md,..\diagrams\outfitwindow.mmd,needed_missing,
04_ui\otui\game_playerdeath\deathwindow.md,..\diagrams\deathwindow.mmd,needed_missing,
04_ui\otui\game_playertrade\tradewindow.md,..\diagrams\tradewindow.mmd,needed_missing,
04_ui\otui\game_prey\prey.md,..\diagrams\prey.mmd,needed_missing,
04_ui\otui\game_questlog\questlogwindow.md,..\diagrams\questlogwindow.mmd,needed_missing,
04_ui\otui\game_ruleviolation\ruleviolation.md,..\diagrams\ruleviolation.mmd,needed_missing,
04_ui\otui\game_shop\shop.md,..\diagrams\shop.mmd,needed_missing,
04_ui\otui\game_skills\skills.md,..\diagrams\skills.mmd,needed_missing,
04_ui\otui\game_spelllist\spelllist.md,..\diagrams\spelllist.mmd,needed_missing,
04_ui\otui\game_textmessage\textmessage.md,..\diagrams\textmessage.mmd,needed_missing,
04_ui\otui\game_textwindow\textwindow.md,..\diagrams\textwindow.mmd,needed_missing,
04_ui\otui\game_topbar\topbar.md,..\diagrams\topbar.mmd,needed_missing,
04_ui\otui\game_unjustifiedpoints\unjustifiedpoints.md,..\diagrams\unjustifiedpoints.mmd,needed_missing,
04_ui\otui\game_viplist\editvip.md,..\diagrams\editvip.mmd,needed_missing,
04_ui\otui\game_viplist\viplist.md,..\diagrams\viplist.mmd,needed_missing,
04_ui\otui\game_bot\ui\basic.md,..\diagrams\basic.mmd,needed_missing,
04_ui\otui\game_bot\ui\config.md,..\diagrams\config.mmd,needed_missing,
04_ui\otui\game_bot\ui\container.md,..\diagrams\container.mmd,needed_missing,
04_ui\otui\game_bot\ui\icons.md,..\diagrams\icons.mmd,needed_missing,
04_ui\otui\game_bot\ui\panels.md,..\diagrams\panels.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\cavebot_1.3\cavebot\cavebot.md,..\diagrams\cavebot.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\cavebot_1.3\cavebot\config.md,..\diagrams\config.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\cavebot_1.3\cavebot\editor.md,..\diagrams\editor.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\cavebot_1.3\cavebot\supply.md,..\diagrams\supply.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\cavebot_1.3\targetbot\creature_editor.md,..\diagrams\creature_editor.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\cavebot_1.3\targetbot\looting.md,..\diagrams\looting.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\cavebot_1.3\targetbot\target.md,..\diagrams\target.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\cavebot\cavebot.md,..\diagrams\cavebot.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\cavebot\config.md,..\diagrams\config.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\cavebot\editor.md,..\diagrams\editor.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\targetbot\creature_editor.md,..\diagrams\creature_editor.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\targetbot\looting.md,..\diagrams\looting.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\targetbot\target.md,..\diagrams\target.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\alarms.md,..\diagrams\alarms.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\analyzer.md,..\diagrams\analyzer.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\AttackBot.md,..\diagrams\AttackBot.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\BotServer.md,..\diagrams\BotServer.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\combo.md,..\diagrams\combo.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\Conditions.md,..\diagrams\Conditions.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\depositer_config.md,..\diagrams\depositer_config.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\equipper.md,..\diagrams\equipper.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\extras.md,..\diagrams\extras.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\HealBot.md,..\diagrams\HealBot.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\new_healer.md,..\diagrams\new_healer.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\playerlist.md,..\diagrams\playerlist.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\pushmax.md,..\diagrams\pushmax.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\siolist.md,..\diagrams\siolist.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.7\vBot\supplies.md,..\diagrams\supplies.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\cavebot\cavebot.md,..\diagrams\cavebot.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\cavebot\config.md,..\diagrams\config.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\cavebot\editor.md,..\diagrams\editor.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\targetbot\creature_editor.md,..\diagrams\creature_editor.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\targetbot\looting.md,..\diagrams\looting.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\targetbot\target.md,..\diagrams\target.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\alarms.md,..\diagrams\alarms.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\analyzer.md,..\diagrams\analyzer.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\AttackBot.md,..\diagrams\AttackBot.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\BotServer.md,..\diagrams\BotServer.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\combo.md,..\diagrams\combo.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\Conditions.md,..\diagrams\Conditions.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\depositer_config.md,..\diagrams\depositer_config.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\equipper.md,..\diagrams\equipper.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\extras.md,..\diagrams\extras.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\HealBot.md,..\diagrams\HealBot.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\new_healer.md,..\diagrams\new_healer.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\playerlist.md,..\diagrams\playerlist.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\pushmax.md,..\diagrams\pushmax.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\siolist.md,..\diagrams\siolist.mmd,needed_missing,
04_ui\otui\game_bot\default_configs\vBot_4.8\vBot\supplies.md,..\diagrams\supplies.mmd,needed_missing,
04_ui\otui\game_interface\styles\countwindow.md,..\diagrams\countwindow.mmd,needed_missing,
04_ui\otui\game_market\ui\general\amountwindow.md,..\diagrams\amountwindow.mmd,needed_missing,
04_ui\otui\game_market\ui\general\marketbuttons.md,..\diagrams\marketbuttons.mmd,needed_missing,
04_ui\otui\game_market\ui\general\marketcombobox.md,..\diagrams\marketcombobox.mmd,needed_missing,
04_ui\otui\game_market\ui\general\markettabs.md,..\diagrams\markettabs.mmd,needed_missing,
04_ui\otui\game_market\ui\marketoffers\browse.md,..\diagrams\browse.mmd,needed_missing,
04_ui\otui\game_market\ui\marketoffers\itemdetails.md,..\diagrams\itemdetails.mmd,needed_missing,
04_ui\otui\game_market\ui\marketoffers\itemoffers.md,..\diagrams\itemoffers.mmd,needed_missing,
04_ui\otui\game_market\ui\marketoffers\itemstats.md,..\diagrams\itemstats.mmd,needed_missing,
04_ui\otui\game_market\ui\myoffers\currentoffers.md,..\diagrams\currentoffers.mmd,needed_missing,
